transaction_id,amount,hour_of_day,day_of_week,merchant_category,transaction_type,distance_from_home,distance_from_last_txn,avg_daily_transactions,velocity_last_hour,failed_attempts_24h,account_age_days,is_international,is_fraud
TXN000161,20.38,7,4,clothing,online,9.2,22.4,2.0,1.0,0,2037,1,0
TXN000162,25.14,9,0,online,contactless,6.1,12.6,2.0,0.0,1,3264,0,0
TXN000163,87.58,7,2,electronics,online,18.1,9.4,3.0,0.0,0,872,0,0
TXN000164,47.74,19,4,clothing,online,20.2,6.6,4.0,0.0,0,2976,0,0
TXN000165,360.03,14,3,clothing,card_present,29.4,12.0,1.0,1.0,0,668,0,0
TXN000166,25.43,23,2,online,card_present,100.2,203.2,7.0,5.0,1,1,1,1
TXN000167,17.76,13,0,gas,online,2.9,15.9,3.0,1.0,0,1040,0,0
TXN000168,5.03,18,0,travel,card_present,6.0,15.0,3.0,2.0,1,2925,0,0
TXN000169,7.61,6,1,travel,contactless,22.4,1.2,1.0,1.0,0,3481,0,0
TXN000170,27.61,16,4,travel,card_present,5.7,2.8,4.0,1.0,1,1996,0,0
TXN000171,95.46,14,1,restaurant,card_present,15.4,7.7,7.0,2.0,1,438,1,0
TXN000172,384.95,21,3,grocery,online,21.7,6.3,4.0,0.0,0,177,0,0
TXN000173,108.57,15,4,grocery,card_present,6.0,13.1,3.0,0.0,0,2242,1,0
TXN000174,91.78,19,3,restaurant,contactless,2.1,7.1,2.0,0.0,0,2381,0,0
TXN000175,53.47,16,0,restaurant,card_present,10.2,9.5,2.0,2.0,0,3642,0,0
TXN000176,109.72,16,3,travel,contactless,7.5,6.3,1.0,3.0,0,2870,0,0
TXN000177,11.65,11,2,travel,card_present,19.0,14.4,1.0,1.0,0,2090,0,0
TXN000178,21.42,13,4,online,online,10.4,3.1,2.0,4.0,0,2791,0,0
TXN000179,90.53,11,3,grocery,online,8.2,1.3,1.0,0.0,1,3406,0,0
TXN000180,23.31,19,4,electronics,card_present,31.1,16.9,4.0,1.0,0,1245,0,0
TXN000181,26.93,8,5,clothing,card_present,18.1,0.8,2.0,1.0,1,2848,1,0
TXN000182,29.85,10,0,travel,contactless,4.9,13.6,2.0,0.0,0,3023,0,0
TXN000183,83.88,16,2,clothing,online,3.0,10.5,2.0,0.0,0,2873,0,0
TXN000184,29.91,16,3,online,card_present,25.5,1.8,1.0,0.0,0,1602,0,0
TXN000185,100.31,8,6,online,card_present,17.5,19.2,4.0,0.0,0,240,0,0
TXN000186,87.49,15,1,clothing,card_present,7.5,14.0,2.0,0.0,0,2335,0,0
TXN000187,197.63,13,1,restaurant,card_present,30.0,1.3,4.0,0.0,0,2662,0,0
TXN000188,120.35,13,4,travel,card_present,3.4,11.9,3.0,2.0,0,1996,1,0
TXN000189,81.38,9,6,electronics,card_present,20.8,14.4,3.0,0.0,0,867,0,0
TXN000190,46.1,12,1,grocery,card_present,17.2,4.3,5.0,0.0,0,2326,0,0
TXN000191,32.68,7,6,travel,online,14.3,8.4,2.0,0.0,0,3463,0,0
TXN000192,138.3,11,4,clothing,contactless,0.9,32.1,4.0,0.0,0,1055,0,0
TXN000193,34.81,19,4,gas,card_present,18.7,3.4,2.0,2.0,0,3468,0,0
TXN000194,27.18,15,4,grocery,card_present,15.0,7.9,2.0,1.0,0,3410,0,0
TXN000195,35.97,14,2,clothing,contactless,11.4,6.9,3.0,1.0,0,3380,0,0
TXN000196,58.91,17,2,travel,online,5.5,22.9,3.0,3.0,1,3088,0,0
TXN000197,29.77,22,6,gas,card_present,13.0,4.4,6.0,0.0,0,3644,1,0
TXN000198,62.06,8,3,gas,card_present,3.3,16.1,1.0,1.0,1,3161,0,0
TXN000199,149.83,14,5,gas,card_present,7.7,16.0,1.0,0.0,0,1154,0,0
TXN000200,23.42,21,3,travel,card_present,15.3,0.9,5.0,2.0,0,1185,0,0
TXN000201,38.72,17,1,online,card_present,4.5,4.0,3.0,2.0,0,3070,1,0
TXN000202,118.47,10,3,restaurant,online,5.8,1.6,2.0,3.0,0,3402,0,0
TXN000203,98.12,13,3,restaurant,card_present,7.5,5.4,3.0,2.0,0,2202,1,0
TXN000204,33.43,15,1,clothing,online,7.7,17.0,4.0,1.0,0,477,0,0
TXN000205,18.51,10,6,travel,card_present,8.7,1.2,7.0,3.0,1,686,0,0
TXN000206,41.33,9,4,online,online,2.6,1.2,2.0,2.0,0,2986,0,0
TXN000207,60.3,19,6,travel,card_present,1.5,9.9,4.0,1.0,1,3374,0,0
TXN000208,723.12,22,1,electronics,card_present,18.5,6.6,5.0,1.0,0,3106,0,0
TXN000209,163.82,15,3,restaurant,contactless,24.2,24.6,3.0,0.0,0,3465,0,0
TXN000210,7.2,19,1,electronics,card_present,6.0,13.9,4.0,0.0,0,3422,0,0
TXN000211,45.85,7,3,gas,card_present,15.7,14.4,4.0,2.0,1,664,0,0
TXN000212,116.69,10,1,restaurant,online,29.8,11.3,2.0,2.0,0,777,1,0
TXN000213,1470.6,1,6,online,online,307.2,262.3,4.0,9.0,3,43,1,1
TXN000214,78.85,20,2,grocery,online,1.5,1.9,2.0,0.0,0,680,0,0
TXN000215,50.26,15,6,travel,card_present,11.7,6.0,2.0,0.0,0,3044,0,0
TXN000216,16.28,13,0,clothing,contactless,16.0,1.1,3.0,0.0,0,866,0,0
TXN000217,49.97,15,3,travel,contactless,18.6,5.2,6.0,1.0,0,342,0,0
TXN000218,40.84,8,4,grocery,online,17.2,7.2,2.0,1.0,0,2567,1,0
TXN000219,76.89,22,6,grocery,card_present,2.5,9.6,5.0,0.0,0,2991,1,0
TXN000220,34.89,22,3,grocery,contactless,13.6,1.8,2.0,2.0,0,846,0,0
TXN000221,118.3,10,3,restaurant,card_present,6.6,3.2,3.0,2.0,0,2950,0,0
TXN000222,34.93,17,6,online,card_present,22.7,7.0,2.0,1.0,0,1868,0,0
TXN000223,25.28,17,1,gas,contactless,38.8,14.5,4.0,2.0,0,1537,0,0
TXN000224,45.27,15,5,restaurant,online,19.3,3.8,4.0,0.0,0,611,0,0
TXN000225,5.02,17,2,gas,card_present,4.5,29.4,2.0,1.0,0,989,0,0
TXN000226,52.82,10,0,restaurant,card_present,7.2,6.1,2.0,0.0,0,2809,0,0
TXN000227,100.4,11,6,travel,card_present,40.6,1.1,0.0,0.0,0,2454,0,0
TXN000228,529.77,17,0,electronics,online,4.2,6.1,4.0,0.0,0,2913,0,0
TXN000229,29.38,13,2,restaurant,online,18.3,0.5,3.0,1.0,0,734,1,0
TXN000230,96.52,19,4,grocery,card_present,9.5,14.8,1.0,2.0,0,199,1,0
TXN000231,257.53,7,0,grocery,card_present,13.5,17.5,4.0,0.0,0,1212,1,0
TXN000232,20.24,14,0,travel,card_present,8.9,9.4,2.0,2.0,0,257,0,0
TXN000233,43.66,6,3,restaurant,online,17.1,11.1,3.0,2.0,1,2772,1,0
TXN000234,65.12,15,2,clothing,contactless,15.6,4.7,2.0,2.0,1,1291,0,0
TXN000235,152.85,22,4,grocery,contactless,3.2,18.0,1.0,1.0,0,3436,1,0
TXN000236,130.33,11,3,clothing,contactless,9.4,6.3,3.0,0.0,0,1560,1,0
TXN000237,116.37,18,6,online,contactless,16.3,0.5,6.0,2.0,1,2059,0,0
TXN000238,62.14,7,1,travel,card_present,18.2,1.5,2.0,1.0,0,2360,0,0
TXN000239,71.34,9,6,clothing,online,32.3,3.9,3.0,1.0,0,2277,0,0
TXN000240,305.84,6,5,grocery,online,8.6,26.1,2.0,1.0,0,1870,0,0
TXN000241,27.8,19,0,online,contactless,2.0,6.2,5.0,1.0,0,2775,0,0
TXN000242,43.83,16,3,clothing,online,1.3,12.1,1.0,2.0,0,2749,0,0
TXN000243,32.71,17,3,restaurant,card_present,3.8,24.9,3.0,1.0,0,1327,0,0
TXN000244,10.87,13,3,online,contactless,4.6,6.4,2.0,1.0,1,1072,0,0
TXN000245,239.26,10,0,clothing,card_present,37.3,7.8,4.0,1.0,0,526,1,0
TXN000246,13.69,21,1,online,card_present,8.9,2.1,3.0,2.0,1,71,0,0
TXN000247,15.34,8,4,clothing,contactless,23.7,1.8,5.0,1.0,0,2664,0,0
TXN000248,154.22,6,3,online,card_present,0.2,4.7,2.0,1.0,0,2896,1,0
TXN000249,23.44,14,2,restaurant,card_present,30.5,11.0,4.0,2.0,0,514,1,0
TXN000250,128.17,22,3,travel,card_present,14.0,3.7,5.0,1.0,1,1269,0,0
TXN000251,27.06,8,6,grocery,online,2.8,6.3,4.0,0.0,0,2760,0,0
TXN000252,73.12,15,0,electronics,contactless,11.3,5.1,4.0,2.0,0,1931,0,0
TXN000253,311.36,6,6,gas,online,1.0,0.2,2.0,0.0,0,2133,1,0
TXN000254,94.81,16,4,electronics,contactless,6.0,6.9,2.0,1.0,0,691,0,0
TXN000255,32.82,19,3,online,card_present,2.5,0.7,3.0,0.0,0,632,1,0
TXN000256,20.69,8,4,restaurant,card_present,10.7,25.8,7.0,0.0,0,3645,0,0
TXN000257,494.05,23,2,online,card_present,109.7,586.2,9.0,4.0,4,26,1,1
TXN000258,49.04,17,3,clothing,card_present,14.2,24.8,2.0,0.0,0,553,0,0
TXN000259,50.62,16,4,restaurant,card_present,18.6,10.2,2.0,0.0,0,2140,0,0
TXN000260,42.25,17,2,restaurant,card_present,3.3,1.1,3.0,0.0,0,1776,0,0
TXN000261,64.11,7,5,grocery,card_present,15.5,1.5,2.0,1.0,0,2843,0,0
TXN000262,21.34,17,6,travel,online,31.4,3.5,6.0,1.0,0,1469,0,0
TXN000263,19.5,9,0,grocery,card_present,17.1,16.5,1.0,1.0,0,1277,0,0
TXN000264,12.94,15,5,grocery,card_present,26.8,17.5,3.0,1.0,0,2385,0,0
TXN000265,12.98,11,6,gas,card_present,13.5,8.6,3.0,1.0,0,971,1,0
TXN000266,6.87,13,2,travel,card_present,5.4,12.7,2.0,3.0,0,1887,0,0
TXN000267,59.31,16,6,travel,contactless,5.5,12.6,4.0,0.0,1,811,0,0
TXN000268,79.31,13,4,grocery,online,3.1,2.2,0.0,3.0,0,2680,0,0
TXN000269,4.83,10,3,electronics,card_present,6.6,14.9,2.0,2.0,0,1489,0,0
TXN000270,259.51,11,1,electronics,card_present,12.7,2.1,3.0,1.0,0,2226,0,0
TXN000271,133.86,17,1,clothing,online,5.0,15.7,3.0,1.0,0,1587,0,0
TXN000272,8.44,19,4,online,online,10.2,17.6,6.0,0.0,0,3077,0,0
TXN000273,298.16,20,0,electronics,card_present,12.6,12.4,3.0,0.0,0,2403,0,0
TXN000274,18.52,9,0,clothing,online,5.5,15.1,7.0,0.0,0,164,0,0
TXN000275,20.52,19,1,travel,card_present,26.2,9.5,2.0,2.0,1,762,0,0
TXN000276,14.69,17,0,clothing,card_present,1.1,1.3,2.0,1.0,0,2041,0,0
TXN000277,134.82,21,6,electronics,card_present,11.7,10.4,3.0,2.0,0,1399,1,0
TXN000278,21.94,20,3,clothing,contactless,5.1,5.6,3.0,3.0,0,1403,0,0
TXN000279,162.73,14,6,travel,online,11.9,21.9,2.0,1.0,0,1252,0,0
TXN000280,98.46,16,1,grocery,online,6.8,1.6,2.0,2.0,0,2665,0,0
TXN000281,32.14,15,5,restaurant,card_present,9.2,1.6,3.0,1.0,0,3239,0,0
TXN000282,52.74,13,1,travel,card_present,2.8,3.0,1.0,1.0,0,1753,1,0
TXN000283,141.4,3,2,jewelry,online,25.5,120.4,8.0,1.0,1,24,1,1
TXN000284,9.59,17,4,clothing,online,10.3,20.3,2.0,0.0,1,401,0,0
TXN000285,78.71,21,4,online,card_present,3.4,23.7,3.0,0.0,0,2759,0,0
TXN000286,29.16,12,4,gas,online,7.1,2.5,3.0,0.0,0,1779,0,0
TXN000287,133.3,16,4,online,card_present,2.7,5.3,3.0,2.0,0,686,1,0
TXN000288,77.46,19,4,travel,card_present,37.8,5.6,2.0,0.0,0,261,0,0
TXN000289,140.59,11,0,online,contactless,28.4,1.1,0.0,1.0,0,2423,0,0
TXN000290,55.0,13,2,travel,online,16.3,12.6,4.0,1.0,0,3242,0,0
TXN000291,56.74,14,0,grocery,card_present,12.6,15.9,4.0,0.0,0,3445,0,0
TXN000292,20.69,10,2,electronics,card_present,1.1,4.3,6.0,3.0,0,2767,0,0
TXN000293,23.84,19,1,electronics,contactless,10.1,19.3,2.0,1.0,1,1490,0,0
TXN000294,36.42,21,2,gas,card_present,14.3,12.1,4.0,2.0,0,3372,0,0
TXN000295,53.72,10,2,electronics,card_present,2.8,9.8,2.0,2.0,0,1102,0,0
TXN000296,35.07,18,4,electronics,online,10.3,12.1,1.0,1.0,0,2765,0,0
TXN000297,11.79,13,0,clothing,card_present,9.4,6.1,2.0,2.0,0,931,0,0
TXN000298,255.22,7,5,grocery,card_present,12.2,14.7,1.0,1.0,0,1616,1,0
TXN000299,234.07,9,2,gas,card_present,11.8,0.3,2.0,0.0,0,1845,0,0
TXN000300,179.69,8,3,gas,online,6.4,0.9,2.0,0.0,1,1051,0,0
TXN000301,39.54,9,4,grocery,online,0.9,4.2,2.0,0.0,1,2693,0,0
